DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,PARENTDIAGNOSISCODE,DIAGNOSISCODESET,DIAGNOSISCODEGROUP,SUBCATEGORY
S129XXS,"Fracture of neck, unspecified, sequela",S129,ICD10,INJURIES TO THE NECK (S10-S19),
S92902A,"Unsp fracture of left foot, init encntr for closed fracture",S92902,ICD10,INJURIES TO THE ANKLE AND FOOT (S90-S99),
H353122,"Nexdtve age-related mclr degn, left eye, intermed dry stage",H35312,ICD10,DISORDERS OF CHOROID AND RETINA (H30-H36),
G3109,Other frontotemporal neurocognitive disorder,G310,ICD10,OTHER DEGENERATIVE DISEASES OF THE NERVOUS SYSTEM (G30-G32),
S46001A,"Unsp inj musc/tend the rotator cuff of r shoulder, init",S46001,ICD10,INJURIES TO THE SHOULDER AND UPPER ARM (S40-S49),
M80052D,"Age-rel osteopor w crnt path fx, l femr, 7thD",M80052,ICD10,DISORDERS OF BONE DENSITY AND STRUCTURE (M80-M85),
F10280,Alcohol dependence with alcohol-induced anxiety disorder,F1028,ICD10,MENTAL AND BEHAVIORAL DISORDERS DUE TO PSYCHOACTIVE SUBSTANCE USE (F10-F19),
E861,Hypovolemia,E86,ICD10,METABOLIC DISORDERS (E70-E88),
I152,Hypertension secondary to endocrine disorders,I15,ICD10,HYPERTENSIVE DISEASES (I10-I15),
K289,"Gastrojejunal ulcer, unsp as acute or chr, w/o hemor or perf",K28,ICD10,"DISEASES OF ESOPHAGUS, STOMACH AND DUODENUM (K20-K31)",
M40204,"Unspecified kyphosis, thoracic region",M4020,ICD10,DEFORMING DORSOPATHIES (M40-M43),
N99820,Postproc hemor of a GU sys org following a GU sys procedure,N9982,ICD10,"INTRAOPERATIVE AND POSTPROCEDURAL COMPLICATIONS AND DISORDERS OF GENITOURINARY SYSTEM, NOT ELSEWHERE CLASSIFIED (N99)",
S41131A,"Puncture wound w/o foreign body of right upper arm, init",S41131,ICD10,INJURIES TO THE SHOULDER AND UPPER ARM (S40-S49),
I63531,Cereb infrc d/t unsp occls or stenos of right post cereb art,I6353,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
I82432,Acute embolism and thrombosis of left popliteal vein,I8243,ICD10,"DISEASES OF VEINS, LYMPHATIC VESSELS AND LYMPH NODES, NOT ELSEWHERE CLASSIFIED (I80-I89)",
I879,"Disorder of vein, unspecified",I87,ICD10,"DISEASES OF VEINS, LYMPHATIC VESSELS AND LYMPH NODES, NOT ELSEWHERE CLASSIFIED (I80-I89)",
T82111A,"Breakdown of cardiac pulse generator (battery), init",T82111,ICD10,"COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED (T80-T88)",
K91840,Postproc hemor/hemtom of dgstv sys org fol a dgstv sys proc,K9184,ICD10,OTHER DISEASES OF THE DIGESTIVE SYSTEM (K90-K95),
S32059A,"Unsp fracture of fifth lumbar vertebra, init for clos fx",S32059,ICD10,"INJURIES TO THE ABDOMEN, LOWER BACK, LUMBAR SPINE, PELVIS AND EXTERNAL GENITALS (S30-S39)",
S82401A,"Unsp fracture of shaft of right fibula, init for clos fx",S82401,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
D447,Neoplasm of uncrt behav of aortic body and oth paraganglia,D44,ICD10,"NEOPLASMS OF UNCERTAIN BEHAVIOR, POLYCYTHEMIA VERA AND MYELODYSPLASTIC SYNDROMES (D37-D48)",
S72042D,"Disp fx of base of nk of l femr, 7thD",S72042,ICD10,INJURIES TO THE HIP AND THIGH (S70-S79),
I455,Other specified heart block,I45,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
Z940,Kidney transplant status,Z94,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
M719,"Bursopathy, unspecified",M71,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
C763,Malignant neoplasm of pelvis,C76,ICD10,"MALIGNANT NEOPLASMS OF ILL-DEFINED, OTHER SECONDARY AND UNSPECIFIED SITES (C76-C80)",
S06360A,"Traum hemor cereb, w/o loss of consciousness, init",S06360,ICD10,INJURIES TO THE HEAD (S00-S09),
L512,Toxic epidermal necrolysis [Lyell],L51,ICD10,URTICARIA AND ERYTHEMA (L49-L54),
I132,Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr kdny/ESRD,I13,ICD10,HYPERTENSIVE DISEASES (I10-I16),
I63032,Cerebral infarction due to thrombosis of left carotid artery,I6303,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
C719,"Malignant neoplasm of brain, unspecified",C71,ICD10,"MALIGNANT NEOPLASMS OF EYE, BRAIN AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM (C69-C72)",
I152,Hypertension secondary to endocrine disorders,I15,ICD10,HYPERTENSIVE DISEASES (I10-I16),
M623,Immobility syndrome (paraplegic),M62,ICD10,DISORDERS OF MUSCLES (M60-M63),
S3992XS,"Unspecified injury of lower back, sequela",S3992,ICD10,"INJURIES TO THE ABDOMEN, LOWER BACK, LUMBAR SPINE, PELVIS AND EXTERNAL GENITALS (S30-S39)",
S6981XA,"Oth injuries of right wrist, hand and finger(s), init encntr",S6981,ICD10,"INJURIES TO THE WRIST, HAND AND FINGERS (S60-S69)",
I63439,Cerebral infrc due to embolism of unsp post cerebral artery,I6343,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
K624,Stenosis of anus and rectum,K62,ICD10,OTHER DISEASES OF INTESTINES (K55-K64),
L711,Rhinophyma,L71,ICD10,DISORDERS OF SKIN APPENDAGES (L60-L75),
H04121,Dry eye syndrome of right lacrimal gland,H0412,ICD10,"DISORDERS OF EYELID, LACRIMAL SYSTEM AND ORBIT (H00-H05)",
Z96641,Presence of right artificial hip joint,Z9664,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
S86001A,"Unspecified injury of right Achilles tendon, init encntr",S86001,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
J342,Deviated nasal septum,J34,ICD10,OTHER DISEASES OF UPPER RESPIRATORY TRACT (J30-J39),
G9349,Other encephalopathy,G934,ICD10,OTHER DISORDERS OF THE NERVOUS SYSTEM (G89-G99),
Z207,"Cntct w & expsr to pediculosis, acariasis & oth infestations",Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
