DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,PARENTDIAGNOSISCODE,DIAGNOSISCODESET,DIAGNOSISCODEGROUP,SUBCATEGORY
Z008,Encounter for other general examination,Z00,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z0001,Encounter for general adult medical exam w abnormal findings,Z000,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z0000,Encntr for general adult medical exam w/o abnormal findings,Z000,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z00129,Encntr for routine child health exam w/o abnormal findings,Z0012,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z0100,Encounter for exam of eyes and vision w/o abnormal findings,Z010,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z0120,Encounter for dental exam and cleaning w/o abnormal findings,Z012,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z01419,Encntr for gyn exam (general) (routine) w/o abn findings,Z0141,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z01411,Encntr for gyn exam (general) (routine) w abnormal findings,Z0141,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z0184,Encounter for antibody response examination,Z018,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z0189,Encounter for other specified special examinations,Z018,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z01818,Encounter for other preprocedural examination,Z0181,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z01810,Encounter for preprocedural cardiovascular examination,Z0181,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z01811,Encounter for preprocedural respiratory examination,Z0181,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z020,Encounter for exam for admission to educational institution,Z02,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z0283,Encounter for blood-alcohol and blood-drug test,Z028,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z0389,Encntr for obs for oth suspected diseases and cond ruled out,Z038,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z03818,Encntr for obs for susp expsr to oth biolg agents ruled out,Z0381,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
